2026-03-23T23:47:00+00:00 | customer='Alfred' | expires=2026-12-31 | issued_at=2026-03-24 | key_id='' | out=/Users/jbeta/Documents/AlfredEnvs/AlfredDEV/releases/licenses/R1_ALFRED.json
2026-03-24T05:03:16+00:00 | customer='Alfred' | expires=2026-12-31 | issued_at=2026-03-24 | key_id='' | out=/Users/jbeta/Documents/AlfredEnvs/AlfredDEV/releases/licenses/R1_ALFRED.json
2026-03-30T07:44:29+00:00 | customer='Alfred' | expires=2026-06-01 | issued_at=2026-03-30 | key_id='' | out=/Users/jbeta/Documents/AlfredEnvs/AlfredDEV/releases/licenses/R2_ALFRED.json
2026-04-07T19:36:05+00:00 | customer='Alfred' | expires=2026-06-01 | issued_at=2026-04-07 | key_id='' | out=/Users/jbeta/Documents/AlfredProject/AlfredDEV/releases/licenses/R3_ALFRED.json
2026-04-08T05:12:23+00:00 | customer='Alfred' | expires=2026-06-01 | issued_at=2026-04-08 | key_id='' | out=/Users/jbeta/Documents/AlfredProject/AlfredDEV/releases/licenses/R3_ALFRED.json
2026-04-13T21:06:19+00:00 | customer='Alfred' | expires=2026-06-30 | issued_at=2026-04-13 | key_id='' | out=/Users/jbeta/Documents/AlfredProject/AlfredDEV/releases/licenses/R4_ALFRED.json
2026-04-23T23:03:33+00:00 | customer='Alfred' | expires=2026-06-30 | issued_at=2026-04-24 | key_id='' | out=/Users/jbeta/Documents/AlfredProject/AlfredDEV/releases/licenses/R5_ALFRED.json

2026-05-04T22:19:54+00:00 | customer='Alfred' | expires=2026-06-30 | issued_at=2026-05-05 | key_id='' | out=/Users/jbeta/Documents/AlfredProject/AlfredDEV/releases/licenses/R6_ALFRED.json
2026-05-15T11:58:58+00:00 | customer='Alfred' | expires=2026-06-30 | issued_at=2026-05-15 | key_id='' | out=/Users/jbeta/Documents/AlfredProject/AlfredDEV/releases/licenses/R7_ALFRED.json
2026-05-25T10:37:37+00:00 | customer='Alfred' | expires=2026-06-30 | issued_at=2026-05-25 | key_id='' | out=/Users/jbeta/Documents/AlfredProject/AlfredDEV/releases/licenses/R8_ALFRED.json
