type,release_id,customer,issued_at,expires,binary_hash,notes
PROD,R1_ALFRED,Alfred,2026-03-24,2026-12-31,0f93607ed22079d4272ef552c023d8d280e37810ed555bfbaa459ef84bb62ea8,prod build
DEV,RDEV_ALFRED_20260325_1556,Alfred,2026-03-25,,0f93607ed22079d4272ef552c023d8d280e37810ed555bfbaa459ef84bb62ea8,dev build
DEV,RDEV_ALFRED_20260325_1618,Alfred,2026-03-25,,0f93607ed22079d4272ef552c023d8d280e37810ed555bfbaa459ef84bb62ea8,dev build
DEV,RDEV_ALFRED_20260325_1619,Alfred,2026-03-25,,0f93607ed22079d4272ef552c023d8d280e37810ed555bfbaa459ef84bb62ea8,dev build
DEV,RDEV_ALFRED_20260325_1657,Alfred,2026-03-25,,0f93607ed22079d4272ef552c023d8d280e37810ed555bfbaa459ef84bb62ea8,dev build
DEV,RDEV_ALFRED_20260325_1700,Alfred,2026-03-25,,0f93607ed22079d4272ef552c023d8d280e37810ed555bfbaa459ef84bb62ea8,dev build
DEV,RDEV_ALFRED_20260325_1703,Alfred,2026-03-25,,0f93607ed22079d4272ef552c023d8d280e37810ed555bfbaa459ef84bb62ea8,dev build
DEV,RDEV_ALFRED_20260326_1425,Alfred,2026-03-26,,0f93607ed22079d4272ef552c023d8d280e37810ed555bfbaa459ef84bb62ea8,dev build
DEV,RDEV_ALFRED_20260326_1501,Alfred,2026-03-26,,0f93607ed22079d4272ef552c023d8d280e37810ed555bfbaa459ef84bb62ea8,dev build
DEV,RDEV_ALFRED_20260326_1538,Alfred,2026-03-26,,0f93607ed22079d4272ef552c023d8d280e37810ed555bfbaa459ef84bb62ea8,dev build
DEV,RDEV_ALFRED_20260326_1540,Alfred,2026-03-26,,0f93607ed22079d4272ef552c023d8d280e37810ed555bfbaa459ef84bb62ea8,dev build
DEV,RDEV_ALFRED_20260326_1807,Alfred,2026-03-26,,0f93607ed22079d4272ef552c023d8d280e37810ed555bfbaa459ef84bb62ea8,dev build
DEV,RDEV_ALFRED_20260327_1137,Alfred,2026-03-27,,0f93607ed22079d4272ef552c023d8d280e37810ed555bfbaa459ef84bb62ea8,dev build
DEV,RDEV_ALFRED_20260327_1213,Alfred,2026-03-27,,0f93607ed22079d4272ef552c023d8d280e37810ed555bfbaa459ef84bb62ea8,dev build
DEV,RDEV_ALFRED_20260327_1320,Alfred,2026-03-27,,,
DEV,RDEV_ALFRED_20260327_1322,Alfred,2026-03-27,,0f93607ed22079d4272ef552c023d8d280e37810ed555bfbaa459ef84bb62ea8,dev build
DEV,RDEV_ALFRED_20260327_1327,Alfred,2026-03-27,,0f93607ed22079d4272ef552c023d8d280e37810ed555bfbaa459ef84bb62ea8,dev build
DEV,RDEV_ALFRED_20260327_1348,Alfred,2026-03-27,,0f93607ed22079d4272ef552c023d8d280e37810ed555bfbaa459ef84bb62ea8,dev build
DEV,RDEV_ALFRED_20260327_1349,Alfred,2026-03-27,,0f93607ed22079d4272ef552c023d8d280e37810ed555bfbaa459ef84bb62ea8,dev build
DEV,RDEV_ALFRED_20260327_1537,Alfred,2026-03-27,,0f93607ed22079d4272ef552c023d8d280e37810ed555bfbaa459ef84bb62ea8,dev build
DEV,RDEV_ALFRED_20260327_1549,Alfred,2026-03-27,,,
